initial_request,contract_type,classified_deal_type,classification_correct,retrieve_norms_latency_ms,total_gold,matched_total,precision@3,recall@3,hit@3,precision@5,recall@5,hit@5,precision@10,recall@10,hit@10,precision@20,recall@20,hit@20,required_sources,actual_sources
Я хочу продать оборудование другой компании и оформить передачу за деньги,договор купли-продажи,договор купли-продажи,1,6840.9,1,1,1.0,1.0,1,1.0,1.0,1,0.9,1.0,1,0.5,1.0,1,ГК РФ ст.454-491,ГК РФ ст.454 | ГК РФ ст.486 | ГК РФ ст.491 | ГК РФ ст.491 | ГК РФ ст.456 | ГК РФ ст.455 | ГК РФ ст.485 | ГК РФ ст.457 | ГК РФ ст.501 | ГК РФ ст.470 | ГК РФ ст.132 | ГК РФ ст.469 | ГК РФ ст.424 | ГК РФ ст.129 | ГК РФ ст.395 | ГК РФ ст.314
"У меня магазин, я продаю товары обычным людям для личного пользования, нужен договор для таких продаж",договор розничной купли-продажи,договор розничной купли-продажи,1,9320.9,8,5,0.6667,0.25,1,0.6,0.25,1,0.6,0.375,1,0.4,0.625,1,ГК РФ ст.454-491 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.1 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.7 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.8-12 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16-17 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18-25 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26.1,ГК РФ ст.492 | ГК РФ ст.454 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26.1 | ГК РФ ст.493 | ГК РФ ст.455 | ГК РФ ст.496 | ГК РФ ст.491 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.23.1 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26 | ГК РФ ст.497 | ГК РФ ст.426 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.10 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.14 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.7 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.5 | ГК РФ ст.445 | ГК РФ ст.129 | ГК РФ ст.428 | ГК РФ ст.786
Я продаю удочки через магазин обычным покупателям и хочу разместить условия покупки на сайте,договор розничной купли-продажи,договор розничной купли-продажи,1,17579.5,9,7,1.0,0.2222,1,0.8,0.3333,1,0.8,0.5556,1,0.8,0.5556,1,ГК РФ ст.454-491 | ГК РФ ст.492-505 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.1 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.7 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.8-12 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16-17 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18-25 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26.1,ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26.1 | ГК РФ ст.492 | ГК РФ ст.494 | ГК РФ ст.454 | ГК РФ ст.426 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.17 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.20 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.17 | ГК РФ ст.437 | ГК РФ ст.497 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.13 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.22 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.24 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.13 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.23 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.20 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.21 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.14 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.7 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.10 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.5
"У меня интернет-магазин, покупатели заказывают товары для себя, нужна оферта для сайта",договор розничной купли-продажи,договор розничной купли-продажи,1,13765.2,9,7,1.0,0.2222,1,1.0,0.3333,1,0.8,0.3333,1,0.7,0.6667,1,ГК РФ ст.454-491 | ГК РФ ст.492-505 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.1 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.7 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.8-12 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16-17 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18-25 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26.1,ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26.1 | ГК РФ ст.494 | ГК РФ ст.497 | ГК РФ ст.454 | ГК РФ ст.492 | ГК РФ ст.437 | ГК РФ ст.493 | ГК РФ ст.426 | ГК РФ ст.496 | ГК РФ ст.455 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.38 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16 | ГК РФ ст.445 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.20 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.17 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.13 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.22 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.10 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.23 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.14 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.13 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.20 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.21 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.24 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.7
Я хочу продать нежилое помещение и оформить переход права собственности на покупателя,договор продажи недвижимости,договор продажи недвижимости,1,8747.3,10,3,1.0,0.2,1,1.0,0.3,1,0.6,0.3,1,0.6,0.3,1,ГК РФ ст.454-491 | ГК РФ ст.549-558 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ГК РФ ст.223 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21,ГК РФ ст.551 | ГК РФ ст.454 | ГК РФ ст.549 | ГК РФ ст.130 | ГК РФ ст.553 | ГК РФ ст.491 | ГК РФ ст.617 | ГК РФ ст.162 | ГК РФ ст.434 | ГК РФ ст.160 | ГК РФ ст.1851 | ГК РФ ст.460 | ГК РФ ст.466 | ГК РФ ст.483 | ГК РФ ст.438 | ГК РФ ст.479 | ГК РФ ст.462 | ГК РФ ст.469
Я хочу продать свою долю в недвижимости другому человеку,договор продажи недвижимости,договор продажи недвижимости,1,7678.0,12,3,1.0,0.1667,1,1.0,0.1667,1,0.8,0.25,1,0.55,0.25,1,ГК РФ ст.454-491 | ГК РФ ст.549-558 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ГК РФ ст.223 | ГК РФ ст.244-251 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.42,ГК РФ ст.454 | ГК РФ ст.549 | ГК РФ ст.553 | ГК РФ ст.554 | ГК РФ ст.552 | ГК РФ ст.558 | ГК РФ ст.130 | ГК РФ ст.491 | ГК РФ ст.438 | ГК РФ ст.434 | ГК РФ ст.460 | ГК РФ ст.160 | ГК РФ ст.462 | ГК РФ ст.469
"Я продаю квартиру, но в ней живут или зарегистрированы люди, нужно правильно оформить сделку",договор продажи недвижимости,договор продажи недвижимости,1,8251.1,13,3,1.0,0.0769,1,1.0,0.1538,1,0.7,0.2308,1,0.6,0.2308,1,ГК РФ ст.454-491 | ГК РФ ст.549-558 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ГК РФ ст.223 | ГК РФ ст.292 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21 | ЖК РФ ст.15-17 | ЖК РФ ст.30-31,ГК РФ ст.549 | ГК РФ ст.558 | ГК РФ ст.551 | ГК РФ ст.454 | ГК РФ ст.553 | ГК РФ ст.675 | ГК РФ ст.688 | ГК РФ ст.674 | ГК РФ ст.130 | ГК РФ ст.462 | ГК РФ ст.438 | ГК РФ ст.460 | ГК РФ ст.434 | ГК РФ ст.466 | ГК РФ ст.160 | ГК РФ ст.479 | ГК РФ ст.483 | ГК РФ ст.475
Я хочу бесплатно переоформить автомобиль на родственника,договор дарения,договор дарения,1,6791.1,1,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,0.5,1.0,1,ГК РФ ст.572-582,ГК РФ ст.572 | ГК РФ ст.574 | ГК РФ ст.574 | ГК РФ ст.576 | ГК РФ ст.577 | ГК РФ ст.578 | ГК РФ ст.573 | ГК РФ ст.578 | ГК РФ ст.575 | ГК РФ ст.579 | ГК РФ ст.170 | ГК РФ ст.253 | ГК РФ ст.313 | ГК РФ ст.387 | ГК РФ ст.382 | ГК РФ ст.392 | ГК РФ ст.388 | ГК РФ ст.391
"Я хочу подарить земельный участок родственнику, чтобы он стал собственником",договор дарения,договор дарения,1,10712.6,9,2,1.0,0.1111,1,0.8,0.1111,1,0.7,0.2222,1,0.35,0.2222,1,ГК РФ ст.572-582 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ГК РФ ст.223 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21,ГК РФ ст.574 | ГК РФ ст.574 | ГК РФ ст.572 | ГК РФ ст.434 | ГК РФ ст.573 | ГК РФ ст.576 | ГК РФ ст.581 | ГК РФ ст.130 | ГК РФ ст.160 | ГК РФ ст.170 | ГК РФ ст.438
Я хочу подарить свою долю в квартире брату,договор дарения,договор дарения,1,7425.5,14,1,1.0,0.0714,1,1.0,0.0714,1,0.9,0.0714,1,0.45,0.0714,1,ГК РФ ст.572-582 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ГК РФ ст.223 | ГК РФ ст.244-251 | ГК РФ ст.292 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.42 | ЖК РФ ст.15-17 | ЖК РФ ст.30-31,ГК РФ ст.572 | ГК РФ ст.574 | ГК РФ ст.574 | ГК РФ ст.576 | ГК РФ ст.577 | ГК РФ ст.575 | ГК РФ ст.578 | ГК РФ ст.578 | ГК РФ ст.579 | ГК РФ ст.170 | ГК РФ ст.253 | ГК РФ ст.387 | ГК РФ ст.392 | ГК РФ ст.388 | ГК РФ ст.313 | ГК РФ ст.391
