initial_request,contract_type,classified_deal_type,classification_correct,retrieve_norms_latency_ms,total_gold,matched_total,precision@3,recall@3,hit@3,precision@5,recall@5,hit@5,precision@10,recall@10,hit@10,precision@20,recall@20,hit@20,required_sources,actual_sources
Я хочу продать оборудование другой компании и оформить передачу за деньги,договор купли-продажи,договор купли-продажи,1,199.6,1,1,0.0,0.0,0,0.2,1.0,1,0.1,1.0,1,0.05,1.0,1,ГК РФ ст.454-491,ГК РФ ст.553 | ГК РФ ст.815 | ГК РФ ст.816 | ГК РФ ст.485 | ГК РФ ст.563 | ГК РФ ст.561 | ГК РФ ст.656 | ГК РФ ст.566 | ГК РФ ст.559 | ГК РФ ст.625 | ГК РФ ст.497 | ГК РФ ст.505 | ГК РФ ст.424 | ГК РФ ст.314 | ГК РФ ст.559 | ГК РФ ст.132
"У меня магазин, я продаю товары обычным людям для личного пользования, нужен договор для таких продаж",договор розничной купли-продажи,договор розничной купли-продажи,1,306.1,8,4,0.0,0.0,0,0.0,0.0,0,0.3,0.375,1,0.25,0.5,1,ГК РФ ст.454-491 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.1 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.7 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.8-12 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16-17 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18-25 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26.1,ГК РФ ст.553 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26 | ГК РФ ст.815 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.38 | ГК РФ ст.816 | ГК РФ ст.505 | ГК РФ ст.492 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ГК РФ ст.485 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.10 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16.1 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ГК РФ ст.426 | ГК РФ ст.424 | ГК РФ ст.314 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.7 | ГК РФ ст.786 | ГК РФ ст.445 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.5 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.14
Я продаю удочки через магазин обычным покупателям и хочу разместить условия покупки на сайте,договор розничной купли-продажи,договор розничной купли-продажи,1,610.3,9,6,0.0,0.0,0,0.4,0.1111,1,0.6,0.3333,1,0.6,0.6667,1,ГК РФ ст.454-491 | ГК РФ ст.492-505 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.1 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.7 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.8-12 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16-17 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18-25 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26.1,ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.38 | ГК РФ ст.553 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.10 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16 | ГК РФ ст.815 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26.1 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.7 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.13 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.13 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.17 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.32 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.29 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.10
"У меня интернет-магазин, покупатели заказывают товары для себя, нужна оферта для сайта",договор розничной купли-продажи,договор розничной купли-продажи,1,506.8,9,7,0.3333,0.1111,1,0.4,0.2222,1,0.6,0.4444,1,0.6,0.7778,1,ГК РФ ст.454-491 | ГК РФ ст.492-505 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.1 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.7 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.8-12 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16-17 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18-25 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26.1,ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.38 | ГК РФ ст.497 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26.1 | ГК РФ ст.553 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.4 | ГК РФ ст.815 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.10 | ГК РФ ст.492 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.16 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.10 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.7 | ГК РФ ст.426 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.13 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.13 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.17 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.32 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.18
Я хочу продать нежилое помещение и оформить переход права собственности на покупателя,договор продажи недвижимости,договор продажи недвижимости,1,160.0,10,2,0.3333,0.1,1,0.2,0.1,1,0.2,0.2,1,0.1,0.2,1,ГК РФ ст.454-491 | ГК РФ ст.549-558 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ГК РФ ст.223 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21,ГК РФ ст.553 | ГК РФ ст.815 | ГК РФ ст.816 | ГК РФ ст.559 | ГК РФ ст.566 | ГК РФ ст.563 | ГК РФ ст.906 | ГК РФ ст.485 | ФЗ О ЗАЩИТЕ ПРАВ ПОТРЕБИТЕЛЕЙ ст.26 | ГК РФ ст.625 | ГК РФ ст.561 | ГК РФ ст.656 | ГК РФ ст.132 | ГК РФ ст.424 | ГК РФ ст.314 | ГК РФ ст.559
Я хочу продать свою долю в недвижимости другому человеку,договор продажи недвижимости,договор продажи недвижимости,1,594.8,12,3,0.3333,0.0833,1,0.2,0.0833,1,0.5,0.1667,1,0.3,0.25,1,ГК РФ ст.454-491 | ГК РФ ст.549-558 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ГК РФ ст.223 | ГК РФ ст.244-251 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.42,ГК РФ ст.553 | ГК РФ ст.815 | ГК РФ ст.566 | ГК РФ ст.559 | ГК РФ ст.816 | ГК РФ ст.549 | ГК РФ ст.454 | ГК РФ ст.551 | ГК РФ ст.485 | ГК РФ ст.625 | ГК РФ ст.617 | ГК РФ ст.563 | ГК РФ ст.132 | ГК РФ ст.130 | ГК РФ ст.559 | ГК РФ ст.560 | ГК РФ ст.561 | ГК РФ ст.562 | ГК РФ ст.563 | ГК РФ ст.564
"Я продаю квартиру, но в ней живут или зарегистрированы люди, нужно правильно оформить сделку",договор продажи недвижимости,договор продажи недвижимости,1,808.6,13,3,0.3333,0.0769,1,0.6,0.1538,1,0.5,0.1538,1,0.35,0.2308,1,ГК РФ ст.454-491 | ГК РФ ст.549-558 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ГК РФ ст.223 | ГК РФ ст.292 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21 | ЖК РФ ст.15-17 | ЖК РФ ст.30-31,ГК РФ ст.558 | ГК РФ ст.688 | ГК РФ ст.566 | ГК РФ ст.553 | ГК РФ ст.454 | ГК РФ ст.556 | ГК РФ ст.559 | ГК РФ ст.549 | ГК РФ ст.686 | ГК РФ ст.677 | ГК РФ ст.687 | ГК РФ ст.550 | ГК РФ ст.132 | ГК РФ ст.130 | ГК РФ ст.559 | ГК РФ ст.560 | ГК РФ ст.561 | ГК РФ ст.562 | ГК РФ ст.563 | ГК РФ ст.564
Я хочу бесплатно переоформить автомобиль на родственника,договор дарения,договор дарения,1,356.6,1,1,0.0,0.0,0,0.4,1.0,1,0.5,1.0,1,0.4,1.0,1,ГК РФ ст.572-582,ГК РФ ст.553 | ГК РФ ст.815 | ГК РФ ст.816 | ГК РФ ст.572 | ГК РФ ст.582 | ГК РФ ст.576 | ГК РФ ст.631 | ГК РФ ст.625 | ГК РФ ст.575 | ГК РФ ст.574 | ГК РФ ст.1012 | ГК РФ ст.571 | ГК РФ ст.170 | ГК РФ ст.574 | ГК РФ ст.124 | ГК РФ ст.578 | ГК РФ ст.581 | ГК РФ ст.253 | ГК РФ ст.313 | ГК РФ ст.382
"Я хочу подарить земельный участок родственнику, чтобы он стал собственником",договор дарения,договор дарения,1,394.4,9,1,0.3333,0.1111,1,0.4,0.1111,1,0.3,0.1111,1,0.35,0.1111,1,ГК РФ ст.572-582 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ГК РФ ст.223 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21,ГК РФ ст.572 | ГК РФ ст.553 | ГК РФ ст.815 | ГК РФ ст.582 | ГК РФ ст.585 | ГК РФ ст.625 | ГК РФ ст.576 | ГК РФ ст.816 | ГК РФ ст.1012 | ГК РФ ст.571 | ГК РФ ст.574 | ГК РФ ст.979 | ГК РФ ст.170 | ГК РФ ст.574 | ГК РФ ст.124 | ГК РФ ст.578 | ГК РФ ст.581 | ГК РФ ст.253 | ГК РФ ст.313 | ГК РФ ст.382
Я хочу подарить свою долю в квартире брату,договор дарения,договор дарения,1,438.7,14,1,0.0,0.0,0,0.4,0.0714,1,0.4,0.0714,1,0.2,0.0714,1,ГК РФ ст.572-582 | ГК РФ ст.8.1 | ГК РФ ст.130 | ГК РФ ст.131 | ГК РФ ст.223 | ГК РФ ст.244-251 | ГК РФ ст.292 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.1 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.14 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.18 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.21 | ФЗ О ГОСУДАРСТВЕННОЙ РЕГИСТРАЦИИ НЕДВИЖИМОСТИ ст.42 | ЖК РФ ст.15-17 | ЖК РФ ст.30-31,ГК РФ ст.815 | ГК РФ ст.553 | ГК РФ ст.816 | ГК РФ ст.576 | ГК РФ ст.572 | ГК РФ ст.582 | ГК РФ ст.571 | ГК РФ ст.677 | ГК РФ ст.688 | ГК РФ ст.574 | ГК РФ ст.807 | ГК РФ ст.819 | ГК РФ ст.253 | ГК РФ ст.313 | ГК РФ ст.382 | ГК РФ ст.386 | ГК РФ ст.388 | ГК РФ ст.389 | ГК РФ ст.391 | ГК РФ ст.392
