№ кейса,тип договора,Э1 — договор,Э2 — договор,Э3 — договор,Э1 — отчет/рекомендации,Э2 — отчет/рекомендации,Э3 — отчет/рекомендации
1,договор купли-продажи,4,5,4,5,5,4
2,договор продажи недвижимости,5,4,5,5,5,5
3,договор дарения,4,4,5,4,5,5
4,договор мены,4,4,4,5,4,5
5,договор займа,4,5,4,4,5,5
6,договор аренды,5,4,5,5,4,5
7,договор проката,4,4,4,4,5,5
8,договор найма жилого помещения,5,5,4,5,5,5
9,договор подряда,4,5,4,4,5,5
10,договор возмездного оказания услуг,5,4,5,5,4,5
11,агентский договор,4,5,5,4,5,5
